tweet_id,_intent_label
1000001,playback_buffering
1000002,playback_buffering
1000003,playback_buffering
1000004,refund_request
1000005,refund_request
1000006,content_unavailable
1000007,content_unavailable
1000008,content_unavailable
1000009,app_crash
1000010,app_crash
1000011,billing_overcharge
1000012,billing_overcharge
1000013,billing_overcharge
1000014,playback_buffering
1000015,playback_buffering
1000016,payment_failed
1000017,payment_failed
1000019,account_security
1000020,account_security
1000021,positive_feedback
1000022,positive_feedback
1000023,subscription_cancel
1000024,subscription_cancel
1000025,subscription_cancel
1000026,subscription_cancel
1000027,refund_request
1000028,refund_request
1000029,payment_failed
1000030,payment_failed
1000031,payment_failed
1000032,app_crash
1000033,app_crash
1000034,app_crash
1000035,account_security
1000036,account_security
1000037,general_complaint
1000038,general_complaint
1000039,payment_failed
1000040,payment_failed
1000041,payment_failed
1000042,payment_failed
1000043,positive_feedback
1000044,positive_feedback
1000045,subscription_cancel
1000046,subscription_cancel
1000047,subscription_cancel
1000048,password_reset
1000049,password_reset
1000050,login_issue
1000051,login_issue
1000053,general_complaint
1000054,general_complaint
1000055,content_unavailable
1000056,content_unavailable
1000057,content_unavailable
1000058,app_crash
1000059,app_crash
1000060,app_crash
1000061,app_crash
1000062,billing_overcharge
1000063,billing_overcharge
1000065,general_complaint
1000066,refund_request
1000067,refund_request
1000068,app_crash
1000069,app_crash
1000070,app_crash
1000071,account_security
1000072,account_security
1000073,login_issue
1000074,login_issue
1000075,general_complaint
1000076,general_complaint
1000077,general_complaint
1000078,playback_buffering
1000079,playback_buffering
1000080,payment_failed
1000081,password_reset
1000082,password_reset
1000083,general_complaint
1000084,app_crash
1000085,app_crash
1000086,refund_request
1000087,refund_request
1000088,playback_buffering
1000089,playback_buffering
1000090,general_complaint
1000091,general_complaint
1000092,app_crash
1000093,app_crash
1000094,playback_buffering
1000095,playback_buffering
1000096,playback_buffering
1000097,subscription_cancel
1000098,subscription_cancel
1000099,subscription_cancel
1000100,content_unavailable
1000101,content_unavailable
1000102,account_security
1000104,password_reset
1000105,password_reset
1000106,playback_buffering
1000107,playback_buffering
1000108,playback_buffering
1000109,subscription_cancel
1000110,subscription_cancel
1000111,playback_buffering
1000112,playback_buffering
1000113,refund_request
1000114,refund_request
1000115,account_security
1000116,subscription_cancel
1000117,subscription_cancel
1000118,payment_failed
1000119,payment_failed
1000120,payment_failed
1000121,general_complaint
1000122,general_complaint
1000123,payment_failed
1000124,payment_failed
1000125,general_complaint
1000126,billing_overcharge
1000127,billing_overcharge
1000128,playback_buffering
1000129,playback_buffering
1000130,feature_request
1000131,feature_request
1000132,payment_failed
1000133,payment_failed
1000134,subscription_cancel
1000135,subscription_cancel
1000136,billing_overcharge
1000137,billing_overcharge
1000138,app_crash
1000139,app_crash
1000141,payment_failed
1000142,payment_failed
1000143,payment_failed
1000144,playback_buffering
1000145,playback_buffering
1000146,login_issue
1000147,login_issue
1000148,subscription_cancel
1000149,subscription_cancel
1000150,login_issue
1000151,login_issue
1000152,app_crash
1000154,app_crash
1000155,app_crash
1000156,app_crash
1000157,password_reset
1000158,password_reset
1000159,subscription_cancel
1000160,subscription_cancel
1000161,password_reset
1000162,password_reset
1000163,subscription_cancel
1000164,subscription_cancel
1000165,payment_failed
1000166,payment_failed
1000167,refund_request
1000168,refund_request
1000169,billing_overcharge
1000170,billing_overcharge
1000171,billing_overcharge
1000172,payment_failed
